	('Numbers: Two-19', 'Digit: Two')	('Numbers: Nine-10', 'Digit: Nine')	('Numbers: Four-3', 'Digit: Four')	('Numbers: Three-28', 'Digit: Three')	('Numbers: One-5', 'Digit: One')	('Numbers: Five-15', 'Digit: Five')	('Numbers: Zero-1', 'Digit: Zero')	('Numbers: Three-17', 'Digit: Three')	('Numbers: One-1', 'Digit: One')	('Numbers: Five-6', 'Digit: Five')	('Numbers: Seven-23', 'Digit: Seven')	('Numbers: Two-1', 'Digit: Two')	('Numbers: Three-8', 'Digit: Three')	('Numbers: Three-19', 'Digit: Three')	('Numbers: Two-25', 'Digit: Two')	('Numbers: Nine-24', 'Digit: Nine')	('Numbers: Nine-1', 'Digit: Nine')	('Numbers: Four-10', 'Digit: Four')	('Numbers: Nine-14', 'Digit: Nine')	('Numbers: Eight-8', 'Digit: Eight')
('Pixels: pos_1-2', 'Center: 37.3619117689')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-3', 'Center: 36.4357020863')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-4', 'Center: 35.4748741208')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-5', 'Center: 34.4989602329')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-6', 'Center: 33.5152172161')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-7', 'Center: 32.5269119346')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-8', 'Center: 31.5357219981')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-9', 'Center: 30.5425946083')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-10', 'Center: 29.5481041253')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-11', 'Center: 28.5526187293')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-12', 'Center: 27.5563851677')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-13', 'Center: 26.559574936')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-14', 'Center: 25.5623108988')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-15', 'Center: 24.5646833681')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-16', 'Center: 23.5667602046')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-17', 'Center: 22.5685933805')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-18', 'Center: 21.5702233691')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-19', 'Center: 20.571682156')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-20', 'Center: 19.5729953519')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-21', 'Center: 18.5741837048')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-22', 'Center: 17.5752642009')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-23', 'Center: 16.57625088')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-24', 'Center: 15.5771554475')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-25', 'Center: 14.5779877401')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-26', 'Center: 13.5787560839')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_1-27', 'Center: 12.5794675742')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-0', 'Center: 37.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-1', 'Center: 37.3619117689')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-2', 'Center: 36.7695526217')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-3', 'Center: 35.992428471')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-4', 'Center: 35.1258437914')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-5', 'Center: 34.2128149393')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-6', 'Center: 33.2734244261')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-7', 'Center: 32.3178698572')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-8', 'Center: 31.3517684952')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-9', 'Center: 30.3784352892')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-10', 'Center: 29.3999407193')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-11', 'Center: 28.4176398589')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-12', 'Center: 27.4324546859')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0
('Pixels: pos_2-13', 'Center: 26.4450333085')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0
('Pixels: pos_2-14', 'Center: 25.4558441227')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0
('Pixels: pos_2-15', 'Center: 24.465233796')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0
('Pixels: pos_2-16', 'Center: 23.4734642498')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-17', 'Center: 22.4807369778')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-18', 'Center: 21.4872094702')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-19', 'Center: 20.4930065719')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-20', 'Center: 19.4982285042')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-21', 'Center: 18.5029566367')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-22', 'Center: 17.5072577121')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-23', 'Center: 16.5111869852')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-24', 'Center: 15.5147905889')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-25', 'Center: 14.5181073385')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-26', 'Center: 13.5211701256')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_2-27', 'Center: 12.5240070051')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-0', 'Center: 36.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-1', 'Center: 36.4357020863')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-2', 'Center: 35.992428471')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-3', 'Center: 35.3553390593')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-4', 'Center: 34.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-5', 'Center: 33.7670278516')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-6', 'Center: 32.8897758139')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-7', 'Center: 31.9822066406')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-8', 'Center: 31.0539760011')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-9', 'Center: 30.1111467659')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-10', 'Center: 29.1576732375')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-11', 'Center: 28.1962254955')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-12', 'Center: 27.2286628696')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-13', 'Center: 26.2563156823')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0
('Pixels: pos_3-14', 'Center: 25.2801586832')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0
('Pixels: pos_3-15', 'Center: 24.3009212057')	0	0	0	0	166	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0
('Pixels: pos_3-16', 'Center: 23.3191591503')	0	0	0	0	222	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0
('Pixels: pos_3-17', 'Center: 22.3353032448')	0	0	0	0	55	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
('Pixels: pos_3-18', 'Center: 21.3496921556')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-19', 'Center: 20.3625956848')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-20', 'Center: 19.3742313303')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-21', 'Center: 18.3847763109')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-22', 'Center: 17.3943764353')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-23', 'Center: 16.403152737')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-24', 'Center: 15.4112065016')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-25', 'Center: 14.4186231224')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-26', 'Center: 13.4254750898')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_3-27', 'Center: 12.431824332')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-0', 'Center: 35.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-1', 'Center: 35.4748741208')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-2', 'Center: 35.1258437914')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-3', 'Center: 34.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-4', 'Center: 33.941125497')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-5', 'Center: 33.194855509')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-6', 'Center: 32.3868771955')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-7', 'Center: 31.5357219981')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-8', 'Center: 30.6537078364')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-9', 'Center: 29.7491219447')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-10', 'Center: 28.8276501322')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-11', 'Center: 27.8932798357')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-12', 'Center: 26.9488691058')	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-13', 'Center: 25.9965092377')	0	0	0	25	0	0	0	0	255	106	0	0	0	0	19	0	0	0	0	0
('Pixels: pos_4-14', 'Center: 25.0377599679')	0	0	0	161	0	0	0	77	211	229	0	0	0	0	168	0	0	0	0	0
('Pixels: pos_4-15', 'Center: 24.0738050502')	0	0	0	174	197	0	0	118	31	254	0	0	0	0	205	0	0	0	0	0
('Pixels: pos_4-16', 'Center: 23.105557244')	0	0	0	181	254	0	0	184	0	134	0	0	0	0	243	0	0	0	0	0
('Pixels: pos_4-17', 'Center: 22.1337305499')	0	0	0	160	218	0	64	254	0	0	0	0	0	0	210	0	0	0	0	0
('Pixels: pos_4-18', 'Center: 21.1588908319')	0	0	0	143	5	0	253	255	0	0	0	0	0	0	28	0	0	0	0	0
('Pixels: pos_4-19', 'Center: 20.1814919075')	0	0	0	13	0	0	255	146	0	0	0	0	0	0	0	0	0	0	0	52
('Pixels: pos_4-20', 'Center: 19.2019016921')	0	0	0	0	0	0	63	35	0	0	0	0	0	0	0	0	0	0	0	241
('Pixels: pos_4-21', 'Center: 18.22042142')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86
('Pixels: pos_4-22', 'Center: 17.2372999714')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-23', 'Center: 16.2527446866')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-24', 'Center: 15.2669296253')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-25', 'Center: 14.2800019441')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-26', 'Center: 13.2920868705')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_4-27', 'Center: 12.3032916185')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-0', 'Center: 34.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-1', 'Center: 34.4989602329')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-2', 'Center: 34.2128149393')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-3', 'Center: 33.7670278516')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-4', 'Center: 33.194855509')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-5', 'Center: 32.5269119346')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-6', 'Center: 31.7877300705')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-7', 'Center: 30.9956544794')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-8', 'Center: 30.1639986144')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-9', 'Center: 29.3023496055')	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0
('Pixels: pos_5-10', 'Center: 28.4176398589')	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0
('Pixels: pos_5-11', 'Center: 27.5149337729')	0	0	0	44	0	0	0	0	32	11	0	93	253	0	0	0	0	0	0	0
('Pixels: pos_5-12', 'Center: 26.5979797464')	0	0	0	177	0	0	0	27	237	148	0	164	159	0	0	0	0	0	0	3
('Pixels: pos_5-13', 'Center: 25.6695914693')	0	0	0	236	0	0	0	197	253	254	0	211	243	0	0	0	0	0	0	13
('Pixels: pos_5-14', 'Center: 24.7319109991')	0	0	0	231	29	0	0	246	252	253	0	250	191	0	0	0	0	0	0	13
('Pixels: pos_5-15', 'Center: 23.7865914456')	0	0	0	216	249	0	0	253	71	249	0	250	61	0	13	0	0	0	0	108
('Pixels: pos_5-16', 'Center: 22.8349251322')	0	0	0	216	254	0	96	253	0	130	0	194	0	0	175	0	0	0	0	137
('Pixels: pos_5-17', 'Center: 21.8779345998')	0	0	0	241	254	0	205	253	0	7	0	15	0	0	253	0	0	0	0	137
('Pixels: pos_5-18', 'Center: 20.9164380542')	0	0	0	254	9	0	251	253	0	0	0	0	0	0	133	0	0	196	0	137
('Pixels: pos_5-19', 'Center: 19.9510970421')	0	0	0	130	0	0	253	253	0	0	0	0	0	0	0	0	0	99	0	238
('Pixels: pos_5-20', 'Center: 18.9824516184')	0	0	0	0	0	0	205	239	0	0	0	0	0	0	0	0	0	0	0	254
('Pixels: pos_5-21', 'Center: 18.0109466015')	0	0	0	0	0	0	111	215	0	0	0	0	0	0	0	0	0	0	0	24
('Pixels: pos_5-22', 'Center: 17.0369514011')	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-23', 'Center: 16.0607751546')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-24', 'Center: 15.0826784022')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-25', 'Center: 14.1028821785')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-26', 'Center: 13.1215751567')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_5-27', 'Center: 12.138919311')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-0', 'Center: 33.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-1', 'Center: 33.5152172161')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-2', 'Center: 33.2734244261')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-3', 'Center: 32.8897758139')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-4', 'Center: 32.3868771955')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-5', 'Center: 31.7877300705')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-6', 'Center: 31.1126983722')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-7', 'Center: 30.3784352892')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-8', 'Center: 29.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0
('Pixels: pos_6-9', 'Center: 28.7813259201')	0	0	0	0	0	0	0	0	0	0	0	20	253	0	0	0	0	5	0	0
('Pixels: pos_6-10', 'Center: 27.9360759568')	0	0	0	67	0	0	0	0	0	0	0	176	252	0	0	0	0	49	0	0
('Pixels: pos_6-11', 'Center: 27.0680156603')	0	0	0	231	0	0	0	27	11	45	0	253	252	0	0	0	0	0	0	0
('Pixels: pos_6-12', 'Center: 26.1815718814')	0	0	0	238	0	0	0	199	175	253	0	237	252	47	0	4	0	0	0	121
('Pixels: pos_6-13', 'Center: 25.2801586832')	0	0	0	80	0	0	0	253	253	254	0	180	252	47	0	111	0	0	0	254
('Pixels: pos_6-14', 'Center: 24.3664335347')	0	0	0	21	45	0	0	253	252	253	0	180	253	129	0	180	0	0	0	254
('Pixels: pos_6-15', 'Center: 23.442485325')	0	0	0	0	254	0	96	251	71	248	0	243	236	253	10	255	0	0	0	254
('Pixels: pos_6-16', 'Center: 22.5099722558')	0	0	0	0	254	0	189	177	0	128	0	254	65	255	179	255	0	0	0	254
('Pixels: pos_6-17', 'Center: 21.5702233691')	0	0	30	69	174	0	251	208	0	10	0	214	0	253	255	71	0	34	0	254
('Pixels: pos_6-18', 'Center: 20.6243137854')	0	0	229	247	2	0	251	253	0	0	0	0	0	232	197	6	0	244	0	254
('Pixels: pos_6-19', 'Center: 19.6731209013')	0	0	44	140	0	0	253	253	0	0	0	0	0	109	0	0	0	98	0	254
('Pixels: pos_6-20', 'Center: 18.7173667286')	0	0	0	0	0	9	251	253	0	0	0	0	0	110	0	0	0	0	0	254
('Pixels: pos_6-21', 'Center: 17.7576500786')	0	0	0	0	0	25	251	250	0	0	0	0	0	78	0	0	0	0	0	103
('Pixels: pos_6-22', 'Center: 16.7944712445')	0	0	0	0	0	25	31	98	0	0	0	0	0	0	0	0	0	0	0	2
('Pixels: pos_6-23', 'Center: 15.8282510984')	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-24', 'Center: 14.8593459927')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('Pixels: pos_6-25', 'Center: 13.8880594821')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-26', 'Center: 12.9146516182')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_6-27', 'Center: 11.9393463746')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
